,ACLED_PK,KPIFK,TimeFK_Event_Date,DateClean,Flashfill,Date Format,CountryFK,ACLED_Region,ACLED_GWNO,ACLED_Event_ID_Cnty,ACLED_Event_ID_No_Cnty,ACLED_Year,ACLED_Time_Precision,ACLED_Event_Type,ACLED_Event_TypeDesc,ACLED_Event_SubType,ACLED_Event_SubTypeDesc,ACLED_Actor1,ACLED_Ally_Actor1,ACLED_Inter1,ACLED_Actor2,ACLED_Ally_Actor2,ACLED_Inter2,ACLED_Interaction,ACLED_Admin1,ACLED_Admin2,ACLED_Admin3,ACLED_Location,ACLED_Latitude,ACLED_Longitude,ACLED_Geo_Precision,ACLED_Source,ACLED_SourceScale,ACLED_Notes,ACLED_Fatalities,ACLED_CreatedOn,ACLED_CreatedBy,ACLED_UpdatedOn,ACLED_UpdatedBy
1036,9845098,95,20180904,20180904,2018-09-04,2018-09-04,3,South Asia,,SRI2628,2628,2018,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Protest with intervention,An attempt to disperse or suppress peaceful protest without serious/lethal injuries being reported or the targeting of protesters with lethal weapons. ,Protesters (Sri Lanka),Tamil Ethnic Group (Sri Lanka),6,Police Forces of Sri Lanka (2015-2019),,1,16,Northern,Mullaitivu,Maritimepattu,Mullaitivu,9.268,80.815,1,TamilNet,International,"On 4 Sept, in Mullaitivu (Maritimepattu, Mullaitivu), tension rose between Buddhist monks and Tamil residents as the latter laid siege to the Buddhist group in Mullaitivu over erection of a Buddha statue at Kurunthoor-malai. Police intervened and diffused the tension before violence broke out.",0,21:10.3,RES01\svcDW_Admin_UNDP,,
1037,9847057,95,20180903,20180903,2018-09-03,2018-09-03,3,South Asia,,SRI2626,2626,2018,1,Riots,"Riots are violent events where demonstrators or mobs engage in disruptive acts, including but not limited to rock throwing, property destruction, etc.",Mob violence,"Rioters violently interact with other rioters, another armed group or civilians, outside of demonstrations and without the use of lethal weapons.",Rioters (Sri Lanka),Vigilante Group (Sri Lanka),5,Unidentified Armed Group (Sri Lanka),,3,35,Western,Gampaha,Wattala,Mabola,7.0041,79.8959,1,Sunday Times (Sri Lanka),National,"On 3 Sept, in Mabola (Wattala, Gampaha), residents of Mabola attacked three armed robbers who attempted to rob a businessman in the area. One of the suspects was injured and arrested.",0,21:10.3,RES01\svcDW_Admin_UNDP,,
1038,9847036,95,20180704,20180704,2018-07-04,2018-07-04,3,South Asia,,SRI2537,2537,2018,1,Riots,"Riots are violent events where demonstrators or mobs engage in disruptive acts, including but not limited to rock throwing, property destruction, etc.",Violent demonstration,"A group of individuals that engage in a demonstration involving violence. Examples include vandalism; road-blocking, using barricades, etc.",Rioters (Sri Lanka),Labour Group (Sri Lanka),5,Rioters (Sri Lanka),,5,55,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Ada Derana,National,"2 groups of rioters clashed in Colombo city, Western, on 4 July, following a protest by several trade unions against appointments in the field of educational services. (Reason for rioting or identity of second group are unknown.)",0,21:10.3,RES01\svcDW_Admin_UNDP,,
1039,10294051,95,20190907,20190907,2019-09-07,2019-09-07,3,South Asia,,SRI3705,3705,2019,2,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),Farmers (Sri Lanka),6,,,0,60,North Central,Anuradhapura,Galenbindunuwewa,Rambakulama,8.25,80.6666,2,Daily Mirror (Sri Lanka),National,"As reported on September 7, more than 1500 people staged a protest on the banks of Rambawettikulama tank in Rambakulama area (Galenbindunuwewa, Anuradhapura district). The protesters demanded that the government provide them with land for paddy cultivation, which was promised by the government, but had not been delivered. [size=more than 1500]",0,23:11.4,RES01\svcDW_Admin_UNDP,,
1040,10294057,95,20190927,20190927,2019-09-27,2019-09-27,3,South Asia,,SRI3752,3752,2019,2,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),Labour Group (Sri Lanka),6,,,0,60,Uva,Moneragala,Moneragala,Monaragala,6.8714,81.3487,1,Daily Mirror (Sri Lanka),National,"As reported on September 27, more than 300 residents and employees of the Janatha Estate Development Board (JEDB) staged a protest in Monagarala town (Moneragala, Moneragala district). The protesters were against the decision to sell land belonging to the JEDB. [size=more than 300]",0,23:11.4,RES01\svcDW_Admin_UNDP,,
1041,10120125,95,20190823,20190823,2019-08-23,2019-08-23,3,South Asia,,SRI3666,3666,2019,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),UNP: United National Party,6,,,0,60,Southern,Matara,Matara,Matara,5.9485,80.5353,2,Ada Derana,National,"On August 23, members of the United National Party held a demonstration in Matara area (Matara, Matara district), demanding public support for the party's deputy leader, Sajith Premadasa. [size=no report]",0,23:11.4,RES01\svcDW_Admin_UNDP,,
1042,10232533,95,20191016,20191016,2019-10-16,2019-10-16,3,South Asia,,SRI3789,3789,2019,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Peaceful protest,"Demonstrators engaged in a protest while not engaging in violence or other forms of rioting behavior, and are not faced with any sort of force or engagement.",Protesters (Sri Lanka),Students (Sri Lanka),6,,,0,60,Eastern,Batticaloa,Manmunai North,Batticaloa,7.7102,81.6924,2,Lankadeepa,National,"On October 16, locals and students staged a protest in the Batticaloa area (Manmunai North, Batticaloa district). The protesters were dissatisfied with the decision of the Irrigation Department to allow mining of sand, which had caused flooding and damages to two houses in the area. [size=no report]",0,23:11.4,RES01\svcDW_Admin_UNDP,,
1043,9845186,95,20181222,20181222,2018-12-22,2018-12-22,3,South Asia,,SRI2974,2974,2018,1,Riots,"Riots are violent events where demonstrators or mobs engage in disruptive acts, including but not limited to rock throwing, property destruction, etc.",Mob violence,"Rioters violently interact with other rioters, another armed group or civilians, outside of demonstrations and without the use of lethal weapons.",Rioters (China),Labour Group (China),5,Private Security Forces (Sri Lanka),,8,58,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Daily Mirror (Sri Lanka),National,"On 22 Dec, in Colombo city, three security personnel clashed with Chinese workers following an argument at a construction site in Chatham Street, injuring 5 from both sides. 11 Chinese workers were later arrested. The source did not mention the reason for the incident or the nature of injury.",0,21:10.3,RES01\svcDW_Admin_UNDP,,
1044,9845181,95,20181216,20181216,2018-12-16,2018-12-16,3,South Asia,,SRI2959,2959,2018,1,Violence against civilians,Violence against unarmed civilians is categorized as Violence against civilians.,Attack,The targeting of civilians with any violence by an organised armed actor. Attacks of sexual nature are coded as ‘Sexual violence’.,UPFA: United People's Freedom Alliance,Government of Sri Lanka (2015-2019),3,Civilians (Sri Lanka),,7,37,Sabaragamuwa,Ratnapura,Godakawela,Godakawela,6.5063,80.6434,1,Island (Sri Lanka),National,"On 16 Dec, in Godakawela (Godakawela, Ratnapura), a UPFA parliamentarian and three others assaulted a civilian. No other information was provided.",0,21:10.3,RES01\svcDW_Admin_UNDP,,
1045,9845041,95,20181031,20181031,2018-10-31,2018-10-31,3,South Asia,,SRI2770,2770,2018,1,Riots,"Riots are violent events where demonstrators or mobs engage in disruptive acts, including but not limited to rock throwing, property destruction, etc.",Mob violence,"Rioters violently interact with other rioters, another armed group or civilians, outside of demonstrations and without the use of lethal weapons.",Rioters (Sri Lanka),UNP: United National Party; Former Government of Sri Lanka (2015-2019),5,Rioters (Sri Lanka),,5,55,North Western,Puttalam,Wennappuwa,Wennappuwa,7.3454,79.8386,2,Daily News (Sri Lanka),National,"On 13 Oct, in Wennappuwa DS (Puttalam), a brawl occurred inside a former Minister's house (Niroshan Perera, UNP), injuring an urban councillor. The source did not mention the reason for the clash and the nature of the injury.",0,21:10.3,RES01\svcDW_Admin_UNDP,,
1046,9846983,95,20181019,20181019,2018-10-19,2018-10-19,3,South Asia,,SRI2730,2730,2018,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Protest with intervention,An attempt to disperse or suppress peaceful protest without serious/lethal injuries being reported or the targeting of protesters with lethal weapons. ,Protesters (Sri Lanka),Students (Sri Lanka),6,Police Forces of Sri Lanka (2015-2019),,1,16,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Ada Derana,National,"On 19 Oct, in Colombo, police fired tear gas and used water canons to disperse students attempting to erect a hut at the University Grants Commission (UGC) in Ward Place. Students were protesting against the suspension of studentship and classes of 25 students at SEUSL.",0,21:10.3,RES01\svcDW_Admin_UNDP,,
1047,9847044,95,20180725,20180725,2018-07-25,2018-07-25,3,South Asia,,SRI2568,2568,2018,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Protest with intervention,An attempt to disperse or suppress peaceful protest without serious/lethal injuries being reported or the targeting of protesters with lethal weapons. ,Protesters (Sri Lanka),Students (Sri Lanka),6,Police Forces of Sri Lanka (2015-2019),,1,16,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Daily Mirror (Sri Lanka),National,"On July 25, about 1,000 students from the Inter Higher National Diploma Federation (HNDF) protested at the Lotus Roundabout, in Colombo city, Western. The group had several demands, including the increase of the Mahapola scholarship grant. The police fired water cannon and tear gas at the protesters, and at least 5 students were injured.",0,21:10.3,RES01\svcDW_Admin_UNDP,,
1048,9846516,95,20180125,20180125,2018-01-25,2018-01-25,3,South Asia,,SRI1003,1003,2018,1,Protests,"A protest is defined as a public demonstration in which the participants do not engage in violence, though violence may be used against them.",Protest with intervention,An attempt to disperse or suppress peaceful protest without serious/lethal injuries being reported or the targeting of protesters with lethal weapons. ,Protesters (Sri Lanka),IUSF: Inter University Students' Federation,6,Police Forces of Sri Lanka (2015-2019),,1,16,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Hiru News,National,IUSF staged a protest in Colombo on 25 January 2018 against SAITM. Police fired tear gas and water cannons to disperse the protesters.,0,21:10.3,RES01\svcDW_Admin_UNDP,,
