,ACLED_PK,KPIFK,TimeFK_Event_Date,CountryFK,ACLED_Region,ACLED_GWNO,ACLED_Event_ID_Cnty,ACLED_Event_ID_No_Cnty,ACLED_Year,ACLED_Time_Precision,ACLED_Event_Type,ACLED_Event_TypeDesc,ACLED_Event_SubType,ACLED_Event_SubTypeDesc,ACLED_Actor1,ACLED_Ally_Actor1,ACLED_Inter1,ACLED_Actor2,ACLED_Ally_Actor2,ACLED_Inter2,ACLED_Interaction,ACLED_Admin1,ACLED_Admin2,ACLED_Admin3,ACLED_Location,ACLED_Latitude,ACLED_Longitude,ACLED_Geo_Precision,ACLED_Source,ACLED_SourceScale,ACLED_Notes,ACLED_Fatalities,ACLED_CreatedOn,ACLED_CreatedBy,ACLED_UpdatedOn,ACLED_UpdatedBy
1723,10983782,95,20210225,203,Western Africa,,NIG19940,19940,2021,1,Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Islamic State (West Africa) - Lake Chad Faction,,2,Military Forces of Nigeria (2015-),,1,12,Borno,Bama,,Jakana,11.6651,14.041,2,Al Naba,Regional,"On 25 February 2021, ISWAP fighters abducted two soldiers and a Christian aid worker between Auno (Konduga LGA, Borno) and Jakana (Bama LGA, Borno). ISWAP fighters also set their vehicle ablaze.",0,2021-05-06 17:38:13.050,RES01\admcunat,,
1724,10983662,95,20210215,203,Western Africa,,NIG19818,19818,2021,1,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon. ,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),,7,37,Federal Capital Territory,Abuja Municipal,,Abuja,9.0833,7.5333,2,Undisclosed Source,Local partner-Other,"Property destruction: On 15 February 2021, unidentified armed youth vandalized property and vehicles at Zamani community along Airport Road in Abuja (Abuja Municipal LGA, FCT). Unknown reason for property destruction. No reported fatalities.",0,2021-05-06 17:38:13.050,RES01\admcunat,,
1725,10604063,95,20210216,203,Western Africa,,NIG19826,19826,2021,1,Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Police Forces of Nigeria (2015-),,1,Unidentified Armed Group (Nigeria),,3,13,Federal Capital Territory,Abaji,,Abaji,8.4667,6.95,2,Undisclosed Source,Local partner-Other,"On 16 February 2021, Nigerian police clashed with unidentified armed men at Kekeshi village of Abaji (Abaji LGA, FCT) following a distress call by residents about their kidnapping activities. Three kidnapped victims rescued. No reported fatalities.",0,2021-05-06 17:38:13.050,RES01\admcunat,,
1726,10650707,95,20210216,203,Western Africa,,NIG19830,19830,2021,1,Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Military Forces of Nigeria (2015-),,1,Islamic State (West Africa) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,2,12,Yobe,Bursari,,Dapchi,12.4904,11.4944,2,Undisclosed Source,Local partner-Other,"On 16 February 2021, Nigerian military troops clashed with Boko Haram fighters at Ajiri (Bursari LGA, Yobe) [coded to Dapchi]. No reported fatalities.",0,2021-05-06 17:38:13.050,RES01\admcunat,,
1727,10650692,95,20210210,203,Western Africa,,NIG19768,19768,2021,2,Violence against civilians,Violence against unarmed civilians is categorized as Violence against civilians.,Attack,The targeting of civilians with any violence by an organised armed actor. Attacks of sexual nature are coded as ‘Sexual violence’.,Kaduna Communal Militia (Nigeria),,4,Civilians (Nigeria),,7,47,Kaduna,Chikun,,Kunai,10.5672,7.1852,2,Daily Champion,National,"Around 10 February 2021 (as reported), a Kaduna Communal Militia attacked Gwagwada-Kasaya village in Kunai (Chikun LGA, Kaduna), killing five residents. Unknown reason for attack.",5,2021-05-06 17:38:13.050,RES01\admcunat,,
1728,10650663,95,20210302,203,Western Africa,,NIG19980,19980,2021,2,Violence against civilians,Violence against unarmed civilians is categorized as Violence against civilians.,Attack,The targeting of civilians with any violence by an organised armed actor. Attacks of sexual nature are coded as ‘Sexual violence’.,Kaduna Communal Militia (Nigeria),,4,Civilians (Nigeria),,7,47,Kaduna,Chikun,,Chikun,10.2691,7.1085,2,Blueprint; Daily Trust (Nigeria),National,"Around 2 March 2021 (as reported), a Kaduna communal militia attacked Sabon Gaya and Ungwan Turai villages in Chikun LGA (Kaduna), killing five residents. Unknown reason for attack.",5,2021-05-06 17:38:13.050,RES01\admcunat,,
1729,10983796,95,20210302,203,Western Africa,,NIG19986,19986,2021,2,Violence against civilians,Violence against unarmed civilians is categorized as Violence against civilians.,Attack,The targeting of civilians with any violence by an organised armed actor. Attacks of sexual nature are coded as ‘Sexual violence’.,Kaduna Communal Militia (Nigeria),,4,Civilians (Nigeria),,7,47,Kaduna,Igabi,,Igabi,10.7889,7.7749,2,Daily Independent (Nigeria),National,"Around 2 March 2021 (as reported), a Kaduna communal militia attacked motorists along Birnin Yero-Tami Road (Igabi LGA, Kaduna), killing one passenger and injuring another. Militiamen also attacked Gwada and Ungwan Kure villages in the same LGA, killing four residents.",5,2021-05-06 17:38:13.050,RES01\admcunat,,
1730,10983648,95,20210210,203,Western Africa,,NIG19758,19758,2021,2,Violence against civilians,Violence against unarmed civilians is categorized as Violence against civilians.,Attack,The targeting of civilians with any violence by an organised armed actor. Attacks of sexual nature are coded as ‘Sexual violence’.,Kaduna Communal Militia (Nigeria),,4,Civilians (Nigeria),,7,47,Kaduna,Birnin Gwari,,Birnin Gwari,10.6637,6.54,2,Daily Champion,National,"Around 10 February 2021 (as reported), a Kaduna Communal Militia attacked Ungwan Gajere (Birnin-Gwari LGA, Kaduna), killing ten residents and injuring three others. Unknown reason for attack.",10,2021-05-06 17:38:13.050,RES01\admcunat,,
1731,11030348,95,20210215,203,Western Africa,,NIG19822,19822,2021,2,Violence against civilians,Violence against unarmed civilians is categorized as Violence against civilians.,Attack,The targeting of civilians with any violence by an organised armed actor. Attacks of sexual nature are coded as ‘Sexual violence’.,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),,7,37,Kaduna,Kajuru,,Kajuru,10.3192,7.6892,2,Undisclosed Source,Local partner-Other,"Around 15 February 2021 (as reported), unidentified armed men attacked Kujeni in Kajuru LGA (Kaduna). Unknown reason for attack. No reported fatalities.",0,2021-05-06 17:38:13.050,RES01\admcunat,,
1732,11030333,95,20210209,203,Western Africa,,NIG19747,19747,2021,1,Violence against civilians,Violence against unarmed civilians is categorized as Violence against civilians.,Abduction/forced disappearance,"The abduction or forced disappearance of civilians, without reports of further violence. ",Zamfara Communal Militia (Nigeria),,4,Civilians (Nigeria),,7,47,Zamfara,Maru,,Maru,12.3342,6.4057,2,Undisclosed Source,Local partner-Other,"On 9 February 2021, a Zamfara Communal Militia mounted a checkpoint between Gobirawa and Bindin villages (Maru LGA, Zamfara), abducting two passengers.",0,2021-05-06 17:38:13.050,RES01\admcunat,,
